Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-N-1,164.2334845,10219.88031,214.2573302,581.8390954,709.552942,3.517048955
Compound_I-N-2,103.7029196,1059.094276,145.4194591,198.1748905,466.6326009,3.990450906
Compound_I-N-3,176.9160123,8199.415347,263.4533228,420.6880533,1198.618544,5.076627298
Compound_I-N-4,103.7808902,8219.304826,246.7131829,551.8234588,679.6168925,3.470929757
Compound_I-N-5,97.32277586,3205.795501,151.679666,317.3626155,615.9921822,2.239694626
Compound_I-N-7,165.9474382,435834.5069,359.02082,663.8836074,756.4900065,10.55516512
Compound_I-N-8,52.32269145,350.1486852,74.614377,103.5147484,223.8288161,4.563505576
Compound_I-N-9,50.70379976,334.5793574,73.78188712,93.25378754,227.1154065,4.422426572
Compound_I-N-10,186.4409093,16150.22756,275.6665734,710.6950223,1153.57838,3.416351051
Compound_I-N-11,172.0793603,14027.07793,287.5617412,841.3111577,1107.535697,2.662797987
Compound_I-N-12,202.8111282,30755.80689,281.716823,762.530958,1155.365278,3.586105153
Compound_I-N-13,114.3777791,5739.364479,185.1222275,481.5148317,531.68641,2.945052537
Compound_I-N-14,119.690765,2982.916414,186.0173576,319.5452885,535.7728722,4.277895767
Compound_I-N-15,174.9941627,5936.663246,248.5319715,452.3387102,1162.047813,5.981696048
Compound_I-N-16,109.4178933,5020.588928,193.2390153,427.4875188,524.3288377,2.820455668
Compound_I-N-17,148.0283522,21131.98433,337.0067704,645.9873596,965.51065,4.826489352
Compound_I-N-18,65.86496363,1358.562359,128.3379172,245.8363455,548.1966486,2.646200091
Compound_I-N-19,185.8112068,22528.5105,362.662677,1048.055378,1113.918203,3.275799615
Compound_I-N-20,94.90261324,5569.646325,192.0084906,450.9281359,546.7278721,4.457249824
Compound_I-N-21,90.56094246,6005.799224,197.4651549,401.443373,647.8384461,3.546639113
Compound_I-N-22,189.0620819,24942.87719,371.2412192,995.6242744,1171.419485,5.193517028
Compound_I-N-23,111.6659809,2590.996037,149.9346131,315.5299483,459.2573301,3.958639004
Compound_I-N-24,121.5001842,2564.541137,157.1036239,343.2122665,497.7760516,4.210019567
Compound_I-N-25,53.14998265,533.9915625,68.98514359,125.2765029,156.4680223,1.933690006
Compound_I-N-26,335.5043269,209749476.9,1099.508047,1677.62056,1952.824089,16.864585
Compound_I-N-27,114.1612421,23328.97846,289.4088393,509.1195633,437.0856203,6.718995573
Compound_I-N-28,142.1900805,17636.09189,268.2050492,494.291811,474.7134145,8.63121948
Compound_I-N-29,164.283361,7657.026061,244.8611689,341.1053575,463.4151362,7.831579587
Compound_I-N-30,94.71559587,120900.6112,303.4357536,515.011021,516.31276,7.335059763
Compound_I-N-31;Compound_I-N-112,72.48126508,882.6131047,118.4858011,223.7304726,527.2375231,3.263370346
Compound_I-N-32,77.58880098,2115.14841,138.8418503,326.4265647,456.0640986,1.652363243
Compound_I-N-33,134.3913288,9891.62785,250.2202998,503.4252656,850.0752275,3.397582216
Compound_I-N-34,80.07785495,1255.384663,126.2915279,234.7798443,297.6975775,2.763336073
Compound_I-N-35,98.58521148,1558.48496,142.9019919,191.3811159,412.1975376,4.35027067
Compound_I-N-36,63.93966291,693.4428246,81.59911706,120.9382716,291.7903041,2.441856548
Compound_I-N-37,60.87318279,550.513881,92.26559033,131.4286653,230.4382291,2.443565751
Compound_I-N-38,80.2898804,967.305763,98.64686648,187.9698577,298.0334967,1.962332682
Compound_I-N-39,75.80559718,1291.257015,130.5981283,258.8769067,335.8277191,2.86876338
Compound_I-N-40,74.43327167,963.6690214,131.0376058,190.5071186,288.7089358,3.971698038
Compound_I-N-41,98.87010606,1598.195055,124.5963614,219.3758127,390.3904259,3.276802582
