Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-N-1,15.18738373,253.1671322,12.682937,26.99338855,29.1613639,0.114394561
Compound_I-N-2,11.81030791,51.99932078,10.24147521,13.28981669,25.60522935,0.118785289
Compound_I-N-3,17.50767391,196.0872582,14.65115111,26.13870476,43.41048331,0.145232555
Compound_I-N-4,12.34915394,211.5755824,15.15903762,28.47987678,34.07163973,0.093464723
Compound_I-N-5,11.17176885,93.80835971,12.09750064,19.71275798,26.83905992,0.084834136
Compound_I-N-7,24.07166582,1367.737362,36.47843359,53.16774389,72.84927594,0.332746689
Compound_I-N-8,7.732849344,24.90822972,9.650102612,10.0304668,18.2667829,0.170441973
Compound_I-N-9,8.564429255,27.47707702,11.24824583,10.83282995,19.56630983,0.172616109
Compound_I-N-10,15.46622942,304.3792378,11.435234,26.14145446,27.50668912,0.104307646
Compound_I-N-11,13.93803569,274.0602941,11.69849692,26.77699495,30.30911637,0.095955239
Compound_I-N-12,15.61202629,398.7552757,10.1910677,24.7637875,27.92363923,0.101712565
Compound_I-N-13,13.79713429,193.3486224,12.58872418,26.01330338,30.34019527,0.095438158
Compound_I-N-14,15.70653057,123.4853346,17.00555422,25.17398059,40.08266915,0.115515583
Compound_I-N-15,18.25751902,172.5298933,16.83457518,33.54494412,47.38966062,0.135163548
Compound_I-N-16,11.62582022,176.8318768,12.79643745,27.12308346,32.5319806,0.100003863
Compound_I-N-17,15.07611568,354.5767938,17.25701362,33.23676903,40.02301193,0.127092138
Compound_I-N-18,7.868279405,71.77312399,8.001898887,15.0943744,21.55879749,0.074684894
Compound_I-N-19,15.76391423,375.6507354,13.51942368,33.80747526,33.64940368,0.096874004
Compound_I-N-20,13.86563441,212.7878592,16.29480181,29.4496721,35.46184126,0.140138636
Compound_I-N-21,10.15715977,154.6976558,11.23832944,22.44488657,27.05763874,0.085804576
Compound_I-N-22,17.03400944,434.0695654,17.72112957,39.06771123,41.02253945,0.121183549
Compound_I-N-23,11.68372828,111.7464339,10.416266,19.53091767,24.8457968,0.090165672
Compound_I-N-24,12.60331957,106.1096649,10.88503855,20.94101776,24.11987675,0.095554809
Compound_I-N-25,9.242580744,60.4539938,10.82679609,17.32018617,18.57940919,0.093851262
Compound_I-N-26,41.31435909,14014.01112,74.38464177,114.1513702,125.4130048,0.632891998
Compound_I-N-27,17.98030987,524.7322812,35.12226645,58.85717893,52.23181121,0.233509496
Compound_I-N-28,19.91862042,336.8277134,28.60044111,46.38095299,48.99823919,0.246279032
Compound_I-N-29,25.75330001,253.3842058,30.409866,41.36817714,59.26051423,0.296790925
Compound_I-N-30,16.46202441,802.4432686,40.47869364,63.26350245,57.58465841,0.201455526
Compound_I-N-31;Compound_I-N-112,8.058228989,50.59983942,8.586494806,16.36080894,23.12520678,0.058063628
Compound_I-N-32,9.291313945,79.0160956,9.92954538,17.1737644,22.03817097,0.082596947
Compound_I-N-33,12.37124301,219.9805878,12.27858108,23.07436168,26.51481551,0.113921977
Compound_I-N-34,11.8142243,84.32139871,11.9931613,21.99888228,24.93827838,0.088004337
Compound_I-N-35,13.70714885,72.11999588,12.69921827,16.8451478,30.63292256,0.083571717
Compound_I-N-36,9.303748859,39.87123852,8.007601781,10.25491268,20.98851484,0.07324906
Compound_I-N-37,9.718574834,45.53323439,11.28491113,14.48392181,23.09298877,0.109767015
Compound_I-N-38,10.00779558,54.38899642,8.511733947,13.58722923,17.67343169,0.086989582
Compound_I-N-39,11.3909218,84.91390779,11.70444593,20.79882943,27.04336027,0.098354974
Compound_I-N-40,12.42310163,76.43723216,14.37257673,19.13571425,32.40668756,0.1325758
Compound_I-N-41,14.52629525,86.08324243,14.46262776,20.39249103,33.51651315,0.120507267
Compound_I-N-42,19.73383875,238.039253,13.26305552,25.18233365,69.86533042,0.115525738
Compound_I-N-43,15.52558657,91.11139945,12.67961896,20.6517879,34.37559112,0.1149886
Compound_I-N-44,18.72671651,129.5626827,29.9531303,32.57882873,46.04055157,0.267240162
Compound_I-N-45,7.406322334,33.56258521,7.848863614,8.501740029,15.82973098,0.098327003
Compound_I-N-46,11.0502396,41.59755844,10.48069595,14.03343868,23.68179953,0.087781621
Compound_I-N-47,20.55747434,334.1531988,20.73828329,39.37309286,53.96981645,0.108457371
Compound_I-N-48,10.24863656,70.56838372,9.606360008,15.92168617,21.31614031,0.089094587
Compound_I-N-49,5.644074679,22.21702349,5.698211533,6.320674784,11.4751581,0.100795847
Compound_I-N-50,6.146215569,27.69479929,5.607572643,7.095655515,12.13511456,0.07986567
Compound_I-N-51,14.64244897,152.1828211,14.03755531,25.05639666,34.15043924,0.124292886
Compound_I-N-52,16.05742016,95.45246254,16.50291398,22.78852889,34.29644483,0.122755599
Compound_I-N-53,12.63296161,62.5694501,11.86448489,18.40847641,27.85828939,0.113893805
Compound_I-N-54,14.97214718,98.01288747,16.04648951,22.57491044,32.85491604,0.111114868
Compound_I-N-55,11.69047259,49.81650583,11.97559738,15.47996183,26.899542,0.115354319
Compound_I-N-56,7.737176923,45.81496653,8.256808769,11.8552427,19.43838878,0.054205367
Compound_I-N-57,13.07480819,98.53482581,14.40077579,19.89696466,38.17525629,0.103782407
Compound_I-N-58,12.83701554,138.8186288,11.26922571,19.51271147,25.88263671,0.101497536
Compound_I-N-59,16.12125436,137.388523,14.76329774,21.44097454,37.45324505,0.15251783
Compound_I-N-60,14.29208521,196.4761504,13.84033414,25.75354372,34.89052346,0.108213214
Compound_I-N-61,7.837729946,33.85342322,8.671248753,10.08343704,18.04419793,0.084381814
Compound_I-N-62,10.89990996,159.1306817,13.13737652,25.00452792,24.88965969,0.087401075
Compound_I-N-63,19.56282189,222.7297874,16.5514529,29.58770254,41.77834945,0.082195345
Compound_I-N-64,11.08946109,103.2511704,11.82635993,18.91464648,24.8639941,0.091498137
Compound_I-N-65,8.586436617,66.48889354,8.347529256,14.00662358,19.86944929,0.056381795
Compound_I-N-66,21.49966887,530.9095989,34.64743502,53.51212788,64.69734999,0.15048248
Compound_I-N-67,12.43289256,91.08247021,14.18019659,22.36430163,28.46163252,0.122902061
Compound_I-N-68,32.33924506,1441.619596,49.85307406,67.70062149,72.2303283,0.341303208
Compound_I-N-69,21.0952939,368.3327756,34.52601575,58.66414731,58.26654352,0.115919999
Compound_I-N-70,11.36288262,66.44629572,12.48121299,21.06075858,28.25107694,0.10406368
Compound_I-N-71,9.124838602,71.00057831,9.647165943,14.68729298,21.00766981,0.074448281
Compound_I-N-72,16.09245511,112.2607784,13.80120874,22.97170981,38.52537458,0.11976387
Compound_I-N-73,25.37013081,682.8218166,39.13568735,73.81874223,63.08594104,0.155764882
Compound_I-N-74,37.98968006,2193.204642,56.22659797,98.47281597,100.805571,0.255640786
Compound_I-N-75,15.80611009,201.3958236,30.84097998,34.71308248,52.76355579,0.265563242
Compound_I-N-76,10.57181222,60.43853872,8.439490352,13.75415694,17.47838822,0.093531003
Compound_I-N-77,39.84966099,2143.799089,87.37534204,141.1726864,145.0506394,0.415588628
Compound_I-N-78,13.22143497,76.05911352,10.27485618,14.78076665,25.09095979,0.101433644
Compound_I-N-79,30.59630424,1669.076118,72.93088654,119.410238,93.98812738,0.310317077
Compound_I-N-80,17.72143153,157.9504341,17.17387293,27.26764728,49.64999036,0.119508532
Compound_I-N-81,68.78392225,12692.19282,91.12395507,178.8393275,167.3880335,0.272011831
Compound_I-N-82,19.88697683,125.1844273,13.38852153,18.9150278,39.08405727,0.146539165
Compound_I-N-83,45.46470535,4635.518774,53.75273415,86.89493554,114.1110845,0.161569822
Compound_I-N-84,31.21282364,3496.090221,77.50854722,129.3311266,99.70100908,0.311880471
Compound_I-N-85,17.45444718,160.1894702,15.99070109,25.99204245,45.6791009,0.122293243
Compound_I-N-86,9.189377097,38.53606673,9.379489338,12.68654747,20.51198774,0.100353459
Compound_I-N-87,8.111090518,41.51735569,9.594105665,12.39778329,20.81574925,0.080251088
Compound_I-N-88,13.13553952,52.69814198,9.965909789,14.73241192,23.75155182,0.138831907
Compound_I-N-89,14.43775598,62.3080355,9.357838614,12.65026587,23.76361864,0.128147786
Compound_I-N-90,17.03841737,62.45972757,10.72686578,14.3326823,26.84911478,0.087956766
Compound_I-N-91,7.896974995,25.71979401,8.404995737,11.15189817,17.26317734,0.103681512
Compound_I-N-92,106.3916561,N/A,1433.863945,4149.908064,1718.818813,0.111764803
Compound_I-N-93,6.964707343,39.6152829,8.111388929,11.9519137,18.30747808,0.102134572
Compound_I-N-94,6.356881482,25.12996591,6.028317758,8.007351283,12.16568102,0.068665829
Compound_I-N-95,7.953254256,55.41933813,7.645845922,11.20899489,16.97124131,0.079148822
Compound_I-N-97,5.63322847,17.2279942,4.853018115,6.453658315,10.47106002,0.087785797
Compound_I-N-98,6.967844934,35.8363465,7.391953087,10.78918049,16.31374346,0.09722557
Compound_I-N-99,7.51049485,53.90863941,8.123173531,10.41672391,16.76716578,0.061593288
Compound_I-N-100,9.720852401,62.62690411,8.34569371,12.0424564,19.01113632,0.093032247
Compound_I-N-101,5.150537149,23.79085978,5.177018083,7.127932111,9.314088144,0.102106125
Compound_I-N-102,5.050112643,20.07998544,3.948878481,5.374036708,8.730279774,0.097605148
Compound_I-N-103,7.357450337,38.42807898,7.879971385,11.43011478,16.07129512,0.102780029
Compound_I-N-104,10.60420119,73.14050482,9.611227754,14.26087257,21.79699881,0.092484551
Compound_I-N-105,7.846920638,38.35051945,8.339678552,11.7696221,17.92047598,0.109697664
Compound_I-N-106,5.088931765,15.75842022,4.097202736,5.325479423,8.667807733,0.070757288
Compound_I-N-107,9.139730474,77.76546299,9.225900188,14.52129456,21.6510844,0.080971067
Compound_I-N-108,9.312088189,65.66978987,10.74229884,18.21385869,25.07950737,0.109677613
Compound_I-N-109,7.698324954,62.1911243,7.479765766,11.92302004,18.32584077,0.067137085
Compound_I-N-111,15.47414429,201.9671416,19.01230923,33.44294594,50.96756462,0.111423149
Compound_I-N-113,16.24171997,244.8699456,19.60458568,37.24135324,55.09439163,0.131140635
Compound_I-N-115,21.07459131,689.8180562,24.79320187,55.23178618,58.90424148,0.114410822
Compound_I-N-116,19.06023355,562.8069122,20.84169376,48.58393399,54.83215203,0.115289967
Compound_I-N-117,12.21110744,108.2865195,11.96961811,20.16689365,26.7437429,0.080516205
Compound_I-N-118,13.19744902,56.7458038,12.54436338,18.37001248,26.08333635,0.123183529
Compound_I-N-119,9.460308735,100.0357986,9.521482879,18.09781667,21.40031682,0.071303582
Compound_I-N-120,9.22407305,107.5389675,9.38977128,19.7916618,21.79809989,0.077446695
Compound_I-N-121,14.06443384,150.8018389,12.49566157,26.94648931,30.86920594,0.080984206
Compound_I-N-122,15.94821833,303.3898888,14.11705625,34.33057648,36.09459221,0.094969481
Compound_I-N-123,11.54271912,154.7519671,11.58514174,26.90481145,93.35255612,0.086679975
Compound_I-N-124,14.3865993,185.4786264,13.32341844,29.82660869,31.36009402,0.090463073
Compound_I-N-125,17.47373739,295.3587382,13.74998593,34.24921574,37.24524573,0.098385486
Compound_I-N-126,11.73512329,48.53010461,10.6976038,17.01572817,24.16433004,0.122298372
Compound_I-N-127,17.02948313,407.2840924,16.40135089,35.43566675,44.33737703,0.111285707
Compound_I-N-128,8.375013933,25.26279242,6.729072747,9.932379897,15.72758353,0.096925085
Compound_I-N-129,4.945048645,20.68001271,4.615271517,5.956548988,9.374089307,0.08854574
Compound_I-N-130,7.210580689,24.99100052,6.737564583,9.640502209,14.3149271,0.077965157
Compound_I-N-131,8.541862237,22.69447968,5.670873552,10.16061161,12.28189648,0.08678331
Compound_I-N-132,8.379352132,25.92859797,6.691985957,11.66706588,12.91106511,0.081338267
Compound_I-N-133,22.67574515,207.7650082,19.93552742,41.55585158,53.44062978,0.085606751
Compound_I-N-134,6.732020226,21.16900356,6.661170466,8.161774896,13.78453763,0.061699143
Compound_I-N-135,19.14728032,556.2526487,22.92008566,49.07047946,50.93829302,0.097185477
Compound_I-N-136,43.8345683,105219.0966,80.59604436,155.9143531,129.5059947,0.184083974
Compound_I-N-137,17.87500744,308.0447259,19.52902965,39.63635856,46.53548219,0.089622337
Compound_I-N-138,10.66049245,58.65728679,10.12764653,15.63114149,21.52779319,0.077316082
Compound_I-N-139,14.26129817,236.2800923,13.21931609,28.07577674,31.3489637,0.102753661
Compound_I-N-140,12.81322437,50.4178964,10.4421459,19.82530525,23.54036102,0.087348933
Compound_I-N-141,45.58966814,16379.98969,80.89655031,169.8915519,154.392426,0.265230713
Compound_I-N-142,9.625764759,64.81294706,8.230959832,13.52804844,14.9481112,0.083020278
Compound_I-N-143,12.18778366,82.11904096,9.082503872,15.23590847,19.61613257,0.082782101
Compound_I-N-144,9.047117141,68.47459464,8.785127455,13.03586751,16.5123632,0.068725736
Compound_I-N-145,16.54502624,256.1948421,29.47404384,59.00039977,44.15089588,0.121029149
Compound_I-N-146,23.91524893,22380.38377,55.91741431,206.7684942,108.7791351,0.151069373
Compound_I-N-147,18.3461154,345.5852722,28.49990979,45.29013093,60.39164097,0.108540908
Compound_I-N-148,9.048354899,27.99504064,7.465629898,10.27800027,16.60743675,0.068364114
Compound_I-N-149,8.509580182,38.96330479,6.334858565,9.915419335,14.73156327,0.076828736
Compound_I-N-150,5.919898278,18.12300807,4.482608859,6.682010109,8.471018038,0.078588145
Compound_I-N-151,11.31775295,57.14217949,13.5787053,20.96605011,31.106156,0.102948107
Compound_I-N-152,28.02989496,4267.23778,61.45114009,116.5191046,93.8702148,0.471624538
Compound_I-N-154,7.007083178,18.02111092,4.744171861,7.182934734,9.954210463,0.085168614
Compound_I-N-155,23.35250762,4176.008256,38.35049502,131.3436145,87.23446879,0.102272676
Compound_I-N-156,10.16692356,35.04194086,8.090162897,11.7565525,19.81319023,0.09483285
Compound_I-N-157,10.06577629,65.08111686,10.35966622,17.92523868,25.40799059,0.074322464
Compound_I-N-158,30.56205757,10912.22784,45.95669252,129.3238899,103.5965855,0.143078129
Compound_I-N-159,23.51557282,10996.71099,52.31972791,113.5130413,84.46021304,0.145315517
