index;count;R1
0;8;CN1CCN([*:1])CC1
1;3;C1CCN([*:1])C1
2;3;C1CN([*:1])CCN1
3;3;CN1CCN(C(=O)C2CCN([*:1])CC2)CC1
4;3;C1CCN([*:1])CC1
5;2;C1CC1[*:1]
6;2;C1CN2CCC1N([*:1])CC2
7;2;O=C(C1CCN([*:1])CC1)N1CCC1
8;2;O=S(=O)(C1CCN([*:1])CC1)N1CCC1
9;2;O=C(C1CCN([*:1])CC1)N1CC(F)(F)C1
10;2;O=C1CCCN1C1CCN([*:1])CC1
11;2;O=C(C1CCN([*:1])CC1)N1CCNCC1
12;2;COC1(C)CN(C(=O)C2CCN([*:1])CC2)C1
13;2;COC1CCN([*:1])CC1
14;2;CCN1CCN([*:1])CC1
15;2;CS(=O)(=O)C1CCN([*:1])CC1
16;2;O=C(C1CCN([*:1])CC1)N1CCN2CCC1C2
17;2;CO[C@H]1CCN(C(=O)C2CCN([*:1])CC2)C1
18;2;FC(F)(F)CN1CCN([*:1])CC1
19;2;N#CC1CN(C(=O)C2CCN([*:1])CC2)C1
20;2;COCCN1CCN([*:1])CC1
21;2;CN(C)C(=O)C1CCN([*:1])CC1
22;2;C1C[C@H]2CN([*:1])CCN2C1
23;2;CS(=O)(=O)C1CN(C(=O)C2CCN([*:1])CC2)C1
24;2;O=C(C1CCN([*:1])CC1)N1CCN2CCC1CC2
25;2;O=S(=O)(C1CC1)N1CCN([*:1])CC1
26;2;C1CN([*:1])CCO1
27;2;C1CC1N1CCN([*:1])CC1
28;2;C1OCC1N1CCN([*:1])CC1
29;2;CC(C)N1CCN([*:1])CC1
30;2;COC1CN(C(=O)C2CCN([*:1])CC2)C1
31;2;O=C(C1CCN([*:1])CC1)N1CC(F)C1
32;2;CN1CCC([*:1])CC1
33;2;NC1CCN([*:1])CC1
34;2;C1CN(C2CCN([*:1])CC2)CCO1
35;2;C1CCCN([*:1])CC1
36;2;O=C(C1CCN([*:1])CC1)N1CCOCC1
37;2;O=C(C1CCN([*:1])CC1)N1CC2(COC2)C1
38;1;CN1CCN(C(=O)C2CCN([*:1])C2)CC1
39;1;O=C(C1COC1)N1CCN([*:1])CC1
40;1;Clc1ncccc1[*:1]
41;1;c1cncc(O[*:1])c1
42;1;C1CC(N2CCN([*:1])CC2)CCO1
43;1;C1CN2CCC1[C@@H](O[*:1])C2
44;1;OC1CCN([*:1])CC1
45;1;FC1(F)CCN(CC2CCN([*:1])CC2)C1
46;1;C1CC(N2CCN([*:1])CC2)C1
47;1;O=C(C1CCN([*:1])CC1)N1CCC(N2CCCCC2)CC1
48;1;O=C(C1CCN([*:1])CC1)N1CC(N2CCC2)C1
49;1;CN(C)CCN1CCN([*:1])CC1
50;1;CC(C)N1CCN2CCN([*:1])CC2C1=O
51;1;O=S(=O)(C1CC1)N1CCC([*:1])CC1
52;1;CN1C2CCC1CN(C(=O)C1CCN([*:1])CC1)C2
