NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1COC1,< 20 nM 
NC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Inactive
CC(C)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1C1CC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CN=C1,Inactive
CNCCC1=CN(N=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Inactive
CN(C)CCC1=CN(N=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)[C@@H]1CCOC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CCOCC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)[C@H]1CCOC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C2COC2)C(F)=CN=C1,< 20 nM 
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1F,Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,Inactive
CC1=CN=CC(NC(=O)C2=C3N=CC(F)=CN3N=C2N)=C1N1CCN(CC1)C1COC1,Inactive
CCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC1CC2,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CCOC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC(F)(F)F)CC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC[C@H]2C1,Inactive
COCCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Inactive
C[C@@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C1COC1,Inactive
C[C@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C1COC1,Inactive
C[C@@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1)C1(C)COC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CC=N1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=NC(=C1)C(F)(F)F,Inactive
CC1=NC=CN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CN=C1,Inactive
CC1=NC(=CN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C(F)(F)F,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(C2CC12)C1COC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C2COC2)C(=CN=C1)C1CC1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CC1,Inactive
CC(C)(C)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,Inactive
CN(C)[C@H]1CCN(C[C@@H]1O)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,Inactive
CN(C)CC1(O)CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,Inactive
CN(C)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3CCN(CC3C2)C2COC2)C(Cl)=CN=C1,Inactive
