Original_SMILES,R1,R2,R3,R4,celldeath
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)C(O)=O,O=C(O)C1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],4149.908064
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(OC2CCC(CC2)C(O)=O)C=CN=C1,O=C(O)C1CCC(O[*:1])CC1,[H][*:2],F[*:3],[H][*:4],1743.7726739999998
CC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,C[*:1],[H][*:2],N#CC[*:3],[H][*:4],456.38426880000003
CN1CCC(CC1=O)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN1CCC([*:1])CC1=O,[H][*:2],F[*:3],[H][*:4],385.8580458
COC1=CN=CC(NC(=O)C2=C3N=CC(F)=CN3N=C2N)=C1C1CC1,C1CC1[*:1],CO[*:2],F[*:3],[H][*:4],356.1977414
CC1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,C[*:1],[H][*:2],F[*:3],[H][*:4],277.209495
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCCOC2)C=CN=C1,C1COCC(O[*:1])C1,[H][*:2],N#CC[*:3],[H][*:4],247.46254989999997
COC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,CO[*:1],[H][*:2],N#CC[*:3],[H][*:4],245.8400932
CC(=O)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC(=O)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],241.7414219
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCS(=O)(=O)CC2)C(F)=CN=C1,O=S1(=O)CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],234.3917466
CC(=O)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CC(=O)N1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],232.15561290000002
CCOC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,CCO[*:1],[H][*:2],N#CC[*:3],[H][*:4],230.10171680000002
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CC3CCCN3C(=O)C2)C(F)=CN=C1,O=C1CN([*:1])CC2CCCN12,F[*:2],F[*:3],[H][*:4],226.43334930000003
CS(=O)(=O)C1CCN(C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1Cl,CS(=O)(=O)C1CCN([*:1])C1,Cl[*:2],F[*:3],[H][*:4],226.4146876
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCCC2)C=CN=C1,C1CCC(O[*:1])C1,[H][*:2],N#CC[*:3],[H][*:4],223.27406690000004
CS(=O)(=O)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CS(=O)(=O)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],221.9559202
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CC2CCCN2C(=O)C1,O=C1CN([*:1])CC2CCCN12,[H][*:2],F[*:3],[H][*:4],216.80338959999997
