Original_SMILES,R1,R2,R3,R4,cellv
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)C(O)=O,O=C(O)C1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],106.39165609999999
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(OC2CCC(CC2)C(O)=O)C=CN=C1,O=C(O)C1CCC(O[*:1])CC1,[H][*:2],F[*:3],[H][*:4],73.93105109999999
CC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,C[*:1],[H][*:2],N#CC[*:3],[H][*:4],69.36472966
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCOCC1,C1CN([*:1])CCO1,[H][*:2],N#CC[*:3],[H][*:4],68.78392225
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(CN2CCCC2=O)C=CN=C1,O=C1CCCN1C[*:1],[H][*:2],F[*:3],[H][*:4],64.34392555
COC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,CO[*:1],[H][*:2],N#CC[*:3],[H][*:4],63.12097469
COCCOC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,COCCO[*:1],[H][*:2],N#CC[*:3],[H][*:4],60.67110188
CC1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,C[*:1],[H][*:2],F[*:3],[H][*:4],59.26809355
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OCCCO)C=CN=C1,OCCCO[*:1],[H][*:2],N#CC[*:3],[H][*:4],55.72068556
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)C1CCOC1,C1CC([*:1])CO1,[H][*:2],F[*:3],[H][*:4],54.41742506
COC1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CO[*:1],[H][*:2],F[*:3],[H][*:4],54.11356025
CCOC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,CCO[*:1],[H][*:2],N#CC[*:3],[H][*:4],53.21820271
CC1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,C[*:1],[H][*:2],Cl[*:3],[H][*:4],52.58222243
